l0 density,l1 density,min,max
0.37396240234375,2.23504638671875,-31,40
0.37445068359375,3.87896728515625,-74,86
0.49859619140625,3.28466796875,-46,54
0.107666015625,0.947265625,-34,43
0.1522216796875,0.82037353515625,-26,34
0.10589599609375,0.37420654296875,-12,15
0.45452880859375,2.58624267578125,-43,54
0.11151123046875,0.62335205078125,-18,23
0.03240966796875,0.56005859375,-14,65
0.2967529296875,3.59515380859375,-48,61
0.07635498046875,0.74456787109375,-37,47
0.122802734375,1.06048583984375,-34,43
0.121826171875,0.951171875,-29,37
0.14361572265625,0.23748779296875,-5,7
0.1409912109375,0.6138916015625,-22,26
0.1197509765625,0.38531494140625,-13,17
0.16802978515625,0.186767578125,-1,3
0.1060791015625,0.5106201171875,-16,21
0.34368896484375,2.81695556640625,-35,47
0.0963134765625,0.7021484375,-27,34
0.10888671875,0.49505615234375,-50,61
0.1427001953125,0.46728515625,-28,7
0.1109619140625,0.3944091796875,-13,17
0.1126708984375,0.64459228515625,-18,24
0.14617919921875,1.2978515625,-27,37
0.07623291015625,0.65789794921875,-28,36
0.10992431640625,0.242919921875,-6,9
0.118408203125,0.58575439453125,-43,53
0.135009765625,1.18292236328125,-32,42
0.15631103515625,0.31439208984375,-7,10
0.2730712890625,4.1763916015625,-98,130
0.51287841796875,4.74188232421875,-77,86
0.15692138671875,1.56304931640625,-43,54
0.1126708984375,0.420166015625,-14,18
0.1068115234375,0.56048583984375,-18,24
0.130615234375,0.5721435546875,-54,64
0.12310791015625,1.0179443359375,-34,42
0.1658935546875,0.84857177734375,-53,59
0.3916015625,3.06927490234375,-31,41
0.136962890625,0.32598876953125,-10,13
0.15087890625,0.39276123046875,-15,15
0.24676513671875,2.19720458984375,-52,63
0.10870361328125,0.56707763671875,-17,22
0.1138916015625,1.1258544921875,-36,47
0.257080078125,4.9488525390625,-66,74
0.065185546875,0.35858154296875,-21,29
0.11810302734375,0.91168212890625,-31,40
0.3438720703125,3.08648681640625,-49,63
0.134765625,0.6343994140625,-22,28
0.070556640625,0.4613037109375,-26,34
0.103271484375,0.4151611328125,-14,18
0.27166748046875,2.447998046875,-39,50
0.15191650390625,0.6727294921875,-19,28
0.29913330078125,0.47186279296875,-9,9
0.27960205078125,1.61749267578125,-53,66
0.13714599609375,1.36346435546875,-41,50
0.4298095703125,2.80029296875,-49,56
0.1162109375,0.92620849609375,-31,39
0.07354736328125,0.753173828125,-39,49
0.2576904296875,2.31842041015625,-29,40
0.2513427734375,3.8858642578125,-78,94
0.16314697265625,0.6226806640625,-38,47
0.3917236328125,3.64837646484375,-103,118
0.18310546875,1.750244140625,-30,41
0.1014404296875,1.02935791015625,-33,43
0.12109375,0.73687744140625,-20,27
0.12445068359375,1.03045654296875,-33,41
0.2376708984375,3.89349365234375,-120,135
0.2047119140625,2.7537841796875,-30,39
